Start,6D6D6D,
End,FFFFFF,
,,
x,y,Luminance
4.116480E-3,2.890181E-3,22.367207
4.132560E-3,4.128838E-3,22.496891
4.148640E-3,4.128838E-3,22.496891
4.164720E-3,2.477296E-3,22.323978
4.180800E-3,4.541724E-3,22.540119
4.196880E-3,6.606134E-3,22.756258
4.212960E-3,2.890181E-3,22.367207
4.229040E-3,1.651543E-3,22.237524
4.245120E-3,2.890181E-3,22.367207
4.261200E-3,4.954591E-3,22.583345
4.277280E-3,4.541724E-3,22.540119
4.293360E-3,4.954591E-3,22.583345
4.309440E-3,7.844754E-3,22.885939
4.325520E-3,7.431888E-3,22.842712
4.341600E-3,3.715971E-3,22.453665
4.357680E-3,4.954591E-3,22.583345
4.373760E-3,6.606134E-3,22.756258
4.389840E-3,6.606134E-3,22.756258
4.405920E-3,4.128838E-3,22.496891
4.422000E-3,2.477296E-3,22.323978
4.438080E-3,8.670544E-3,22.972397
4.454160E-3,6.193249E-3,22.713030
4.470240E-3,4.954591E-3,22.583345
4.486320E-3,7.431888E-3,22.842712
4.502400E-3,7.019002E-3,22.799484
4.518480E-3,7.844754E-3,22.885939
4.534560E-3,8.257659E-3,22.929169
4.550640E-3,6.193249E-3,22.713030
4.566720E-3,4.128838E-3,22.496891
4.582800E-3,5.367477E-3,22.626574
4.598880E-3,6.193249E-3,22.713030
4.614960E-3,7.844754E-3,22.885939
4.631040E-3,7.431888E-3,22.842712
4.647120E-3,9.909165E-3,23.102077
4.663200E-3,10.734955E-3,23.188536
4.679280E-3,6.606134E-3,22.756258
4.695360E-3,5.367477E-3,22.626574
4.711440E-3,3.715971E-3,22.453665
4.727520E-3,4.541724E-3,22.540119
4.743600E-3,5.780381E-3,22.669804
4.759680E-3,5.780381E-3,22.669804
4.775760E-3,8.257659E-3,22.929169
4.791840E-3,8.670544E-3,22.972397
4.807920E-3,4.954591E-3,22.583345
4.824000E-3,8.257659E-3,22.929169
4.840080E-3,5.367477E-3,22.626574
4.856160E-3,7.844754E-3,22.885939
4.872240E-3,7.019002E-3,22.799484
4.888320E-3,5.780381E-3,22.669804
4.904400E-3,9.496298E-3,23.058851
4.920480E-3,8.670544E-3,22.972397
4.936560E-3,8.257659E-3,22.929169
4.952640E-3,7.019002E-3,22.799484
4.968720E-3,5.367477E-3,22.626574
4.984800E-3,5.367477E-3,22.626574
5.000880E-3,5.780381E-3,22.669804
5.016960E-3,7.844754E-3,22.885939
5.033040E-3,11.560707E-3,23.274990
5.049120E-3,7.431888E-3,22.842712
5.065200E-3,5.367477E-3,22.626574
5.081280E-3,5.780381E-3,22.669804
