Start,6D6D6D,
End,929292,
,,
x,y,Luminance
9.213841E-3,26.030373E-3,22.023540
9.229921E-3,19.522803E-3,21.893845
9.246000E-3,17.353613E-3,21.850613
9.262080E-3,15.184424E-3,21.807381
9.278161E-3,26.030373E-3,22.023540
9.294241E-3,43.383986E-3,22.369398
9.310321E-3,45.553174E-3,22.412630
9.326400E-3,23.861183E-3,21.980309
9.342480E-3,17.353613E-3,21.850613
9.358561E-3,26.030373E-3,22.023540
9.374641E-3,41.214701E-3,22.326164
9.390720E-3,43.383986E-3,22.369398
9.406800E-3,26.030373E-3,22.023540
9.422881E-3,19.522803E-3,21.893845
9.438961E-3,39.045606E-3,22.282934
9.455040E-3,45.553174E-3,22.412630
9.471120E-3,34.707133E-3,22.196468
9.487201E-3,28.199563E-3,22.066772
9.503281E-3,23.861183E-3,21.980309
9.519361E-3,10.845949E-3,21.720915
9.535440E-3,21.691993E-3,21.937077
9.551520E-3,28.199563E-3,22.066772
9.567601E-3,39.045606E-3,22.282934
9.583681E-3,39.045606E-3,22.282934
9.599760E-3,26.030373E-3,22.023540
9.615840E-3,34.707133E-3,22.196468
9.631921E-3,41.214701E-3,22.326164
9.648001E-3,47.722463E-3,22.455864
9.664080E-3,23.861183E-3,21.980309
9.680160E-3,26.030373E-3,22.023540
9.696241E-3,34.707133E-3,22.196468
9.712321E-3,36.876418E-3,22.239702
9.728401E-3,34.707133E-3,22.196468
9.744480E-3,21.691993E-3,21.937077
9.760560E-3,21.691993E-3,21.937077
9.776641E-3,30.368751E-3,22.110004
9.792721E-3,32.538038E-3,22.153238
9.808800E-3,36.876418E-3,22.239702
9.824880E-3,30.368751E-3,22.110004
9.840961E-3,19.522803E-3,21.893845
9.857041E-3,26.030373E-3,22.023540
9.873120E-3,15.184424E-3,21.807381
9.889200E-3,15.184424E-3,21.807381
9.905281E-3,34.707133E-3,22.196468
9.921361E-3,36.876418E-3,22.239702
9.937441E-3,36.876418E-3,22.239702
9.953520E-3,19.522803E-3,21.893845
9.969600E-3,26.030373E-3,22.023540
9.985681E-3,23.861183E-3,21.980309
10.001761E-3,21.691993E-3,21.937077
10.017840E-3,19.522803E-3,21.893845
10.033920E-3,26.030373E-3,22.023540
10.050001E-3,36.876418E-3,22.239702
10.066081E-3,41.214701E-3,22.326164
10.082160E-3,15.184424E-3,21.807381
10.098240E-3,21.691993E-3,21.937077
10.114321E-3,19.522803E-3,21.893845
10.130401E-3,23.861183E-3,21.980309
10.146481E-3,30.368751E-3,22.110004
10.162560E-3,39.045606E-3,22.282934
10.178640E-3,43.383986E-3,22.369398
10.194721E-3,30.368751E-3,22.110004
10.210801E-3,23.861183E-3,21.980309
10.226880E-3,21.691993E-3,21.937077
10.242960E-3,32.538038E-3,22.153238
10.259041E-3,52.060746E-3,22.542326
10.275121E-3,32.538038E-3,22.153238
10.291200E-3,28.199563E-3,22.066772
10.307280E-3,21.691993E-3,21.937077
10.323361E-3,10.845949E-3,21.720915
10.339441E-3,17.353613E-3,21.850613
10.355521E-3,19.522803E-3,21.893845
10.371600E-3,17.353613E-3,21.850613
10.387680E-3,21.691993E-3,21.937077
10.403761E-3,30.368751E-3,22.110004
10.419841E-3,39.045606E-3,22.282934
10.435920E-3,41.214701E-3,22.326164
10.452000E-3,34.707133E-3,22.196468
10.468081E-3,21.691993E-3,21.937077
10.484161E-3,23.861183E-3,21.980309
10.500241E-3,21.691993E-3,21.937077
10.516320E-3,17.353613E-3,21.850613
10.532401E-3,19.522803E-3,21.893845
10.548481E-3,28.199563E-3,22.066772
10.564561E-3,28.199563E-3,22.066772
10.580640E-3,28.199563E-3,22.066772
10.596721E-3,13.015234E-3,21.764149
10.612801E-3,21.691993E-3,21.937077
